"Tile.Size","Match.Score","Prev.Length","Prev.Type","Browse.Time"
0.3067187,72,95,"TT",14.6374614542523
0.3067187,72,95,"TT",14.5080092942746
0.3067187,72,95,"TT",14.4257823198052
0.3067187,72,95,"TT",12.9644196431919
0.3067187,72,95,"TT",12.3602454881101
0.3067187,72,95,"TT",12.9752455524153
0.3067187,72,95,"TT",14.7279874221644
0.3067187,72,95,"TT",13.5303460593914
0.3067187,72,95,"TT",15.9334032224946
0.3067187,72,95,"TT",13.3789137378987
0.3067187,72,95,"TT",15.0610168382171
0.3067187,72,95,"TT",14.7705855636694
0.3067187,72,95,"TT",14.282828184115
0.3067187,72,95,"TT",13.4582936045716
0.3067187,72,95,"TT",13.9825366616447
0.3067187,72,95,"TT",15.1442090702413
0.3067187,72,95,"TT",14.2224254558849
0.3067187,72,95,"TT",14.6766750405744
0.3067187,72,95,"TT",15.2192447919987
0.3067187,72,95,"TT",13.4742960973832
0.3067187,72,95,"TT",13.932275432117
0.3067187,72,95,"TT",12.2393381883454
0.3067187,72,95,"TT",13.4986668427416
0.3067187,72,95,"TT",13.3313634635895
0.3067187,72,95,"TT",13.8804444892491
0.3067187,72,95,"TT",14.7685193627117
0.3067187,72,95,"TT",14.7041899347713
0.3067187,72,95,"TT",14.4090035559604
0.3067187,72,95,"TT",15.6714388486754
0.3067187,72,95,"TT",12.9106467714993
0.3067187,72,95,"TT",15.116983372319
0.3067187,72,95,"TT",14.4604425112439
0.3067187,72,95,"TT",14.8107696059288
0.3067187,72,95,"TT",13.4059694282717
0.3067187,72,95,"TT",15.5608086628009
0.3067187,72,95,"TT",13.4564780759074
0.3067187,72,95,"TT",15.3487736725258
0.3067187,72,95,"TT",15.5927392368894
0.3067187,72,95,"TT",14.1298691089238
0.3067187,72,95,"TT",13.3768291106219
0.3067187,72,95,"TT",14.7775071322598
0.3067187,72,95,"TT",14.5043244195389
0.3067187,72,95,"TT",14.1781498847884
0.3067187,72,95,"TT",14.4060084909727
0.3067187,72,95,"TT",14.8681746612604
0.3067187,72,95,"TT",12.610945293649
0.3067187,72,95,"TT",15.5045186603605
0.3067187,72,95,"TT",15.5326745016323
0.3067187,72,95,"TT",13.4109494358957
0.3067187,72,95,"TT",14.2542569296361
0.3067187,72,95,"TT",13.2040263206023
0.3067187,72,95,"TT",12.5169403598017
0.3067187,72,95,"TT",14.3904093422372
0.3067187,72,95,"TT",12.4562513777206
0.3067187,72,95,"TT",13.3622264109837
0.3067187,72,95,"TT",15.2122917483294
0.3067187,72,95,"TT",14.9949892586189
0.3067187,72,95,"TT",14.8926778933365
0.3067187,72,95,"TT",14.4464285879448
0.3067187,72,95,"TT",14.3116901954672
0.3067187,72,95,"TT",13.7988910413435
0.3067187,72,95,"TT",13.4628085356566
0.3067187,72,95,"TT",12.933747892913
0.3067187,72,95,"TT",14.029684838567
0.3067187,72,95,"TT",14.2913040872934
0.3067187,72,95,"TT",15.9905992406393
0.3067187,72,95,"TT",14.1143589521606
0.3067187,72,95,"TT",14.8343901260885
0.3067187,72,95,"TT",11.9745723663348
0.3067187,72,95,"TT",16.124443712641
0.3067187,72,95,"TT",13.5870164625722
0.3067187,72,95,"TT",12.5948348104938
0.3067187,72,95,"TT",14.0393444711306
0.3067187,72,95,"TT",13.8709930096875
0.3067187,72,95,"TT",15.1155947367065
0.3067187,72,95,"TT",13.091217248911
0.3067187,72,95,"TT",14.0175734059355
0.3067187,72,95,"TT",13.1009873829291
0.3067187,72,95,"TT",12.8821874647699
0.3067187,72,95,"TT",13.435819786485
0.3067187,72,95,"TT",13.4087697061913
0.3067187,72,95,"TT",13.0881622744199
0.3067187,72,95,"TT",13.8713369267082
0.3067187,72,95,"TT",14.0113851503627
0.3067187,72,95,"TT",15.0784671706053
0.3067187,72,95,"TT",15.6105111167803
0.3067187,72,95,"TT",14.4508605453146
0.3067187,72,95,"TT",12.797000572315
0.3067187,72,95,"TT",12.9917448164853
0.3067187,72,95,"TT",12.4052827849474
0.3067187,72,95,"TT",11.9788940612813
0.3067187,72,95,"TT",14.0267478725461
0.3067187,72,95,"TT",14.1367035054918
0.3067187,72,95,"TT",13.1072158454094
0.3067187,72,95,"TT",13.9919530273958
0.3067187,72,95,"TT",14.310613660362
0.3067187,72,95,"TT",12.3736032424738
0.3067187,72,95,"TT",14.8298165429495
0.3067187,72,95,"TT",11.8755329244018
0.3067187,72,95,"TT",12.3075043204492
