"Match.Score","Prev.Length","Tile.Size","Prev.Type","Browse.Time"
67,90,0.2,"TT",14.0492101235895
57,110,0.2,"TT",16.6970585667344
77,70,0.2,"TT",10.2783931257833
57,70,0.2,"TT",13.8497084663028
77,110,0.2,"TT",18.0462094551347
67,90,0.2,"TT",13.5338419468637
57,110,0.2,"TT",14.9658886597385
77,70,0.2,"TT",11.6760585873136
57,70,0.2,"TT",14.471944957655
77,110,0.2,"TT",16.8578422217556
67,90,0.2,"TT",10.7627173410018
57,110,0.2,"TT",17.5300894642206
77,70,0.2,"TT",9.18814872825751
57,70,0.2,"TT",15.0882650579123
77,110,0.2,"TT",17.5299777569869
67,90,0.2,"TT",11.30390760447
57,110,0.2,"TT",15.1488507072991
77,70,0.2,"TT",12.7220914764289
57,70,0.2,"TT",13.9721886172965
77,110,0.2,"TT",18.7907123750905
67,90,0.2,"TT",12.1414183326369
57,110,0.2,"TT",17.1177838082211
77,70,0.2,"TT",12.1281966596229
57,70,0.2,"TT",13.8446335413293
77,110,0.2,"TT",16.7987541940854
67,90,0.2,"TT",12.5501572369713
57,110,0.2,"TT",16.129233279525
77,70,0.2,"TT",10.5185942890761
57,70,0.2,"TT",14.2420821892017
77,110,0.2,"TT",18.3987664685783
67,90,0.2,"TT",12.259211266085
57,110,0.2,"TT",16.390147120798
77,70,0.2,"TT",10.9053923389781
57,70,0.2,"TT",15.4043060702553
77,110,0.2,"TT",16.3996631344162
67,90,0.2,"TT",13.6581749466933
57,110,0.2,"TT",16.8115166196415
77,70,0.2,"TT",10.6112962971338
57,70,0.2,"TT",14.9119343414905
77,110,0.2,"TT",18.8029270787581
67,90,0.2,"TT",11.3436286333849
57,110,0.2,"TT",16.9717662188336
77,70,0.2,"TT",11.9455066131516
57,70,0.2,"TT",13.6795938088683
77,110,0.2,"TT",16.6736963087306
67,90,0.2,"TT",13.1527802617948
57,110,0.2,"TT",16.4114755799844
77,70,0.2,"TT",11.6705082985008
57,70,0.2,"TT",14.2661517590232
77,110,0.2,"TT",18.4211961277254
67,90,0.2,"TT",11.4328753728245
57,110,0.2,"TT",16.6351642089
77,70,0.2,"TT",8.8085685031182
57,70,0.2,"TT",15.2604581590658
77,110,0.2,"TT",17.7865309167301
67,90,0.2,"TT",13.0949929794751
57,110,0.2,"TT",17.1629972016195
77,70,0.2,"TT",11.6437806589871
57,70,0.2,"TT",13.987082913162
77,110,0.2,"TT",16.7151823213265
67,90,0.2,"TT",10.728194721177
57,110,0.2,"TT",17.2203819447957
77,70,0.2,"TT",9.94056457210717
57,70,0.2,"TT",13.9020894977298
77,110,0.2,"TT",16.1589720036142
67,90,0.2,"TT",13.5723483648973
57,110,0.2,"TT",16.7736178673318
77,70,0.2,"TT",11.0752185133422
57,70,0.2,"TT",13.1159367840384
77,110,0.2,"TT",17.3829064465503
67,90,0.2,"TT",11.4080880875998
57,110,0.2,"TT",17.4453844317738
77,70,0.2,"TT",10.0255695975262
57,70,0.2,"TT",12.4217550963459
77,110,0.2,"TT",17.0183341664658
67,90,0.2,"TT",12.8512121454254
57,110,0.2,"TT",15.1808208744933
77,70,0.2,"TT",11.6158642171413
57,70,0.2,"TT",14.5763671047642
77,110,0.2,"TT",17.0737097338506
67,90,0.2,"TT",11.1934639854241
57,110,0.2,"TT",15.3797239781306
77,70,0.2,"TT",11.544026760307
57,70,0.2,"TT",12.7194581243257
77,110,0.2,"TT",17.6228891551356
67,90,0.2,"TT",12.2832639300282
57,110,0.2,"TT",16.6350828344837
77,70,0.2,"TT",10.097316812263
57,70,0.2,"TT",15.4625884281739
77,110,0.2,"TT",17.649776524224
67,90,0.2,"TT",12.2924716866168
57,110,0.2,"TT",16.1091512669849
77,70,0.2,"TT",11.0108931041245
57,70,0.2,"TT",12.6300866866105
77,110,0.2,"TT",17.3007818904095
67,90,0.2,"TT",11.7971355801695
57,110,0.2,"TT",14.7318769045127
77,70,0.2,"TT",10.7812184355313
57,70,0.2,"TT",14.3282986135665
77,110,0.2,"TT",18.1094812331986
67,90,0.2,"TT",12.159703572828
57,110,0.2,"TT",17.6731250930594
77,70,0.2,"TT",11.8045148870805
57,70,0.2,"TT",15.0559487429757
77,110,0.2,"TT",17.1216034023989
67,90,0.2,"TT",10.9180539576087
57,110,0.2,"TT",16.7680281443426
77,70,0.2,"TT",10.6833746346711
57,70,0.2,"TT",13.7165956368339
77,110,0.2,"TT",15.8877397202769
67,90,0.2,"TT",12.0718724670775
57,110,0.2,"TT",13.9901088075216
77,70,0.2,"TT",11.371593942138
57,70,0.2,"TT",15.1328837486888
77,110,0.2,"TT",17.5936195193818
67,90,0.2,"TT",10.8036891283064
57,110,0.2,"TT",15.6750717731859
77,70,0.2,"TT",10.4825191779064
57,70,0.2,"TT",15.1376185639983
77,110,0.2,"TT",16.8577567762791
67,90,0.2,"TT",13.6961967959393
57,110,0.2,"TT",18.8958211425876
77,70,0.2,"TT",11.0559684194051
57,70,0.2,"TT",12.5228697967609
77,110,0.2,"TT",17.2683757455503
67,90,0.2,"TT",10.3046766169166
57,110,0.2,"TT",17.2131828626111
77,70,0.2,"TT",8.95508996232052
57,70,0.2,"TT",13.5372220102982
77,110,0.2,"TT",17.8178405216143
67,90,0.2,"TT",12.6193209632543
57,110,0.2,"TT",15.4655718867344
77,70,0.2,"TT",8.77948846201845
57,70,0.2,"TT",14.2694499708335
77,110,0.2,"TT",17.6962922647156
67,90,0.2,"TT",10.787326551884
57,110,0.2,"TT",15.9913331921036
77,70,0.2,"TT",12.354674940629
57,70,0.2,"TT",13.563717358706
77,110,0.2,"TT",17.4330934874566
67,90,0.2,"TT",10.8566758688409
57,110,0.2,"TT",15.3721171653656
77,70,0.2,"TT",10.3573740470734
57,70,0.2,"TT",13.6897055774397
77,110,0.2,"TT",17.3924401484856
67,90,0.2,"TT",11.476211668195
57,110,0.2,"TT",18.1170002689429
77,70,0.2,"TT",10.1992765235122
57,70,0.2,"TT",15.0893735380494
77,110,0.2,"TT",18.4288223855077
67,90,0.2,"TT",11.1927073464283
57,110,0.2,"TT",15.4973174008983
77,70,0.2,"TT",11.6996749839548
57,70,0.2,"TT",14.3159019139127
77,110,0.2,"TT",17.2423474194733
67,90,0.2,"TT",13.0761397217709
57,110,0.2,"TT",15.2723047669431
77,70,0.2,"TT",9.05219417980245
57,70,0.2,"TT",14.564546673774
77,110,0.2,"TT",17.3923371227364
67,90,0.2,"TT",11.5417228297778
57,110,0.2,"TT",16.2049007791686
77,70,0.2,"TT",10.5595111264074
57,70,0.2,"TT",14.2691284531094
77,110,0.2,"TT",19.5024467047919
67,90,0.2,"TT",12.5270551298629
57,110,0.2,"TT",15.5960618932556
77,70,0.2,"TT",10.2649259529104
57,70,0.2,"TT",14.0728029126734
77,110,0.2,"TT",19.9329797725645
67,90,0.2,"TT",11.7541082466219
57,110,0.2,"TT",14.6483587462532
77,70,0.2,"TT",12.047324737726
57,70,0.2,"TT",14.4835734089069
77,110,0.2,"TT",17.2893183327953
67,90,0.2,"TT",13.5016918722009
57,110,0.2,"TT",15.7122170959818
77,70,0.2,"TT",9.74567897990191
57,70,0.2,"TT",15.2251011046199
77,110,0.2,"TT",18.9707947114448
67,90,0.2,"TT",12.0807902477616
57,110,0.2,"TT",16.9607617556274
77,70,0.2,"TT",10.0091080482514
57,70,0.2,"TT",12.4445382915296
77,110,0.2,"TT",16.4003560678583
67,90,0.2,"TT",12.1753899098917
57,110,0.2,"TT",16.1983902253662
77,70,0.2,"TT",11.0298470550829
57,70,0.2,"TT",15.1728947123084
77,110,0.2,"TT",16.7805025063079
67,90,0.2,"TT",13.0014192191098
57,110,0.2,"TT",18.1755509284725
77,70,0.2,"TT",10.7654475606916
57,70,0.2,"TT",15.7651957960882
77,110,0.2,"TT",18.8255861160473
67,90,0.2,"TT",12.0118217729846
57,110,0.2,"TT",15.7307827595138
77,70,0.2,"TT",10.067929997472
57,70,0.2,"TT",13.2547594466535
77,110,0.2,"TT",18.6649301250305
67,90,0.2,"TT",11.7853306502458
57,110,0.2,"TT",15.9945599868852
77,70,0.2,"TT",11.9553426834498
57,70,0.2,"TT",15.8941093503758
77,110,0.2,"TT",18.0141781646462
67,90,0.2,"TT",13.4368047138904
57,110,0.2,"TT",16.6190989324076
77,70,0.2,"TT",10.38860645833
57,70,0.2,"TT",14.6366400216458
77,110,0.2,"TT",16.8386261447724
67,90,0.2,"TT",9.81397432909625
57,110,0.2,"TT",17.3453405417244
77,70,0.2,"TT",9.17213236924846
57,70,0.2,"TT",14.3164787082279
77,110,0.2,"TT",17.4419609821855
67,90,0.2,"TT",13.0589423818877
57,110,0.2,"TT",15.2609544599599
77,70,0.2,"TT",12.1373628459195
57,70,0.2,"TT",13.6229289455047
77,110,0.2,"TT",17.6571058426419
67,90,0.2,"TT",11.2187528153651
57,110,0.2,"TT",17.2343648082429
77,70,0.2,"TT",10.746463401643
57,70,0.2,"TT",15.6172797724065
77,110,0.2,"TT",17.5641163918141
67,90,0.2,"TT",12.3973334086442
57,110,0.2,"TT",15.9593221144053
77,70,0.2,"TT",10.6905240297169
57,70,0.2,"TT",13.9043137909557
77,110,0.2,"TT",16.7650025273582
67,90,0.2,"TT",11.7426693440806
57,110,0.2,"TT",15.7558034596788
77,70,0.2,"TT",8.90793351107351
57,70,0.2,"TT",13.0446731007127
77,110,0.2,"TT",17.799819461162
67,90,0.2,"TT",13.0841311011541
57,110,0.2,"TT",15.5150401958834
77,70,0.2,"TT",10.7656166582086
57,70,0.2,"TT",12.4484642466816
77,110,0.2,"TT",18.9094865421637
67,90,0.2,"TT",10.6443414228902
57,110,0.2,"TT",17.3863456675911
77,70,0.2,"TT",9.99548852798258
57,70,0.2,"TT",13.1065884336371
77,110,0.2,"TT",20.0587840351781
67,90,0.2,"TT",12.1080075440574
57,110,0.2,"TT",18.1428193347787
77,70,0.2,"TT",9.15240154227515
57,70,0.2,"TT",14.6404276791904
77,110,0.2,"TT",16.9382589381064
67,90,0.2,"TT",11.2060363147498
57,110,0.2,"TT",15.2605322053591
77,70,0.2,"TT",11.3283569032381
57,70,0.2,"TT",13.1251465552257
77,110,0.2,"TT",15.9484154765833
67,90,0.2,"TT",12.7170752552464
57,110,0.2,"TT",17.0712579086386
77,70,0.2,"TT",10.3332582990004
57,70,0.2,"TT",14.0837359256496
77,110,0.2,"TT",18.989793248456
67,90,0.2,"TT",10.99984104175
57,110,0.2,"TT",17.1869314016007
77,70,0.2,"TT",10.4031997358284
57,70,0.2,"TT",14.5573723583973
77,110,0.2,"TT",16.6065916449117
67,90,0.2,"TT",12.4420618312292
57,110,0.2,"TT",17.331222195651
77,70,0.2,"TT",10.3631950933217
57,70,0.2,"TT",14.3130616835627
77,110,0.2,"TT",18.0311248750392
67,90,0.2,"TT",12.0025065059591
57,110,0.2,"TT",17.6833585809404
77,70,0.2,"TT",11.4002028371407
57,70,0.2,"TT",14.1845901503341
77,110,0.2,"TT",18.4465360384667
67,90,0.2,"TT",12.492515552563
57,110,0.2,"TT",16.5290411035019
77,70,0.2,"TT",11.7788137212565
57,70,0.2,"TT",14.7770944185513
77,110,0.2,"TT",17.5820907737269
67,90,0.2,"TT",12.2538042826115
57,110,0.2,"TT",15.4711877188454
77,70,0.2,"TT",9.29175460936768
57,70,0.2,"TT",13.505451002429
77,110,0.2,"TT",16.8139377989432
67,90,0.2,"TT",11.9234867564292
57,110,0.2,"TT",15.8743902232706
77,70,0.2,"TT",10.096161417852
57,70,0.2,"TT",15.8302947610352
77,110,0.2,"TT",18.7075815922107
67,90,0.2,"TT",12.3145385814483
57,110,0.2,"TT",15.4057376971626
77,70,0.2,"TT",11.3363620352948
57,70,0.2,"TT",14.6276540608467
77,110,0.2,"TT",18.2578864009858
67,90,0.2,"TT",13.3981817524199
57,110,0.2,"TT",15.1511271942743
77,70,0.2,"TT",10.0569538008414
57,70,0.2,"TT",13.879646129713
77,110,0.2,"TT",18.4317670508186
67,90,0.2,"TT",12.7493302995862
57,110,0.2,"TT",18.4549345921872
77,70,0.2,"TT",8.06768200014363
57,70,0.2,"TT",14.7502160205856
77,110,0.2,"TT",17.1723363084122
67,90,0.2,"TT",12.1447495865715
57,110,0.2,"TT",15.3190794819038
77,70,0.2,"TT",11.4768985384653
57,70,0.2,"TT",14.4372387299394
77,110,0.2,"TT",15.7613072042875
67,90,0.2,"TT",12.3379184092474
57,110,0.2,"TT",16.5937120970821
77,70,0.2,"TT",10.3702468106071
57,70,0.2,"TT",15.1414233024505
77,110,0.2,"TT",18.8564987605975
67,90,0.2,"TT",12.0338435478483
57,110,0.2,"TT",15.8167423267387
77,70,0.2,"TT",9.46202393144642
57,70,0.2,"TT",14.0467915204027
77,110,0.2,"TT",16.4376953330835
67,90,0.2,"TT",12.6909377089324
57,110,0.2,"TT",16.7410441092331
77,70,0.2,"TT",9.24708276367853
57,70,0.2,"TT",14.194769950925
77,110,0.2,"TT",17.2733055904364
67,90,0.2,"TT",10.984520287435
57,110,0.2,"TT",16.5474058302303
77,70,0.2,"TT",9.88904900510695
57,70,0.2,"TT",15.3940883408472
77,110,0.2,"TT",17.5618253038601
67,90,0.2,"TT",12.3451123573347
57,110,0.2,"TT",16.7803543631146
77,70,0.2,"TT",11.8459411667226
57,70,0.2,"TT",15.6597641148063
77,110,0.2,"TT",17.402065153056
67,90,0.2,"TT",11.373781731026
57,110,0.2,"TT",16.4838523563698
77,70,0.2,"TT",9.45347021732943
57,70,0.2,"TT",13.1215864762581
77,110,0.2,"TT",18.1944652855941
67,90,0.2,"TT",11.9686484509996
57,110,0.2,"TT",15.5218219043825
77,70,0.2,"TT",9.94626255419563
57,70,0.2,"TT",13.802240279843
77,110,0.2,"TT",15.3430512698067
67,90,0.2,"TT",11.1672313521039
57,110,0.2,"TT",16.3594118589611
77,70,0.2,"TT",10.9498307085526
57,70,0.2,"TT",14.6430481678442
77,110,0.2,"TT",19.5859404973714
67,90,0.2,"TT",11.9659767993831
57,110,0.2,"TT",16.8112610794689
77,70,0.2,"TT",10.6249377747267
57,70,0.2,"TT",15.2383233330904
77,110,0.2,"TT",17.9294798173461
67,90,0.2,"TT",11.3440923930392
57,110,0.2,"TT",16.7636184083399
77,70,0.2,"TT",8.82071550983205
57,70,0.2,"TT",14.8796480570322
77,110,0.2,"TT",20.2661842899651
67,90,0.2,"TT",13.6161615305812
57,110,0.2,"TT",16.137212546361
77,70,0.2,"TT",10.3614846218923
57,70,0.2,"TT",12.9443327561911
77,110,0.2,"TT",17.1127741720323
67,90,0.2,"TT",13.2452036085429
57,110,0.2,"TT",15.9111882844545
77,70,0.2,"TT",10.9976808452193
57,70,0.2,"TT",13.489074302693
77,110,0.2,"TT",17.3595486043816
67,90,0.2,"TT",12.0338346885844
57,110,0.2,"TT",17.4795114625489
77,70,0.2,"TT",9.60741797153351
57,70,0.2,"TT",14.0414961224292
77,110,0.2,"TT",17.7696791670443
67,90,0.2,"TT",11.6360521825096
57,110,0.2,"TT",16.1415161291954
77,70,0.2,"TT",10.1541349154118
57,70,0.2,"TT",15.2767941886319
77,110,0.2,"TT",16.8872717273171
67,90,0.2,"TT",11.1177822126041
57,110,0.2,"TT",15.4155631914059
77,70,0.2,"TT",10.9876541124532
57,70,0.2,"TT",13.9814904389037
77,110,0.2,"TT",17.9117290784366
67,90,0.2,"TT",12.0133958798005
57,110,0.2,"TT",17.3252977526158
77,70,0.2,"TT",8.48395438708195
57,70,0.2,"TT",14.8543871581801
77,110,0.2,"TT",18.1360215849525
67,90,0.2,"TT",10.2514018990089
57,110,0.2,"TT",17.3996320750678
77,70,0.2,"TT",10.1327770733051
57,70,0.2,"TT",14.8534967342764
77,110,0.2,"TT",17.3475663055326
67,90,0.2,"TT",12.5121224738371
57,110,0.2,"TT",15.0552716295064
77,70,0.2,"TT",11.7369809848266
57,70,0.2,"TT",15.3385712977389
77,110,0.2,"TT",17.1961826551717
67,90,0.2,"TT",13.8381606616838
57,110,0.2,"TT",14.8128804085871
77,70,0.2,"TT",10.6697995056942
57,70,0.2,"TT",15.2352865663287
77,110,0.2,"TT",19.0526534195257
67,90,0.2,"TT",11.6738698211216
57,110,0.2,"TT",16.7750556781466
77,70,0.2,"TT",10.5976770720161
57,70,0.2,"TT",14.3894500247035
77,110,0.2,"TT",16.9894883826378
67,90,0.2,"TT",11.022798480011
57,110,0.2,"TT",15.9767749724654
77,70,0.2,"TT",10.407832729216
57,70,0.2,"TT",14.9234740846707
77,110,0.2,"TT",19.3990988032793
67,90,0.2,"TT",11.5426571717599
57,110,0.2,"TT",16.3989753566101
77,70,0.2,"TT",7.87018419283508
57,70,0.2,"TT",14.5740283609338
77,110,0.2,"TT",16.4358024918697
67,90,0.2,"TT",12.0623481195377
57,110,0.2,"TT",15.762613771482
77,70,0.2,"TT",10.5837324108746
57,70,0.2,"TT",14.6338412938217
77,110,0.2,"TT",17.7800220567982
67,90,0.2,"TT",13.0790314824535
57,110,0.2,"TT",17.4725695502856
77,70,0.2,"TT",10.0358271931791
57,70,0.2,"TT",13.6868226270476
77,110,0.2,"TT",16.4300399537561
67,90,0.2,"TT",11.1335567391737
57,110,0.2,"TT",16.5103832166441
77,70,0.2,"TT",12.1486379783264
57,70,0.2,"TT",13.7522556416599
77,110,0.2,"TT",17.4709164877768
67,90,0.2,"TT",12.329938014979
57,110,0.2,"TT",15.6994605885416
77,70,0.2,"TT",9.61646273933443
57,70,0.2,"TT",14.6007432751926
77,110,0.2,"TT",16.9072237538303
67,90,0.2,"TT",12.7141176405265
57,110,0.2,"TT",16.6667946977884
77,70,0.2,"TT",10.8834298756739
57,70,0.2,"TT",15.0799641014297
77,110,0.2,"TT",18.3354028462829
67,90,0.2,"TT",11.7475418966236
57,110,0.2,"TT",17.6548101615751
77,70,0.2,"TT",11.6519086489943
57,70,0.2,"TT",15.1066127316532
77,110,0.2,"TT",18.048585426023
67,90,0.2,"TT",13.205004479097
57,110,0.2,"TT",16.060862000211
77,70,0.2,"TT",10.5641062844438
57,70,0.2,"TT",13.143532381813
77,110,0.2,"TT",16.8365656654553
67,90,0.2,"TT",10.355757222324
57,110,0.2,"TT",17.0557567289421
77,70,0.2,"TT",10.5886437624644
57,70,0.2,"TT",13.298247239372
77,110,0.2,"TT",16.7944761611696
67,90,0.2,"TT",14.2114306399794
57,110,0.2,"TT",15.8030324630841
77,70,0.2,"TT",10.1953369152308
57,70,0.2,"TT",13.4272989722731
77,110,0.2,"TT",17.6028142833774
67,90,0.2,"TT",13.607700577615
57,110,0.2,"TT",17.9839918004408
77,70,0.2,"TT",11.5019167615007
57,70,0.2,"TT",16.1720809841909
77,110,0.2,"TT",17.5823939893059
67,90,0.2,"TT",11.861514165483
57,110,0.2,"TT",17.3838268526938
77,70,0.2,"TT",11.0570039170656
57,70,0.2,"TT",12.270439364403
77,110,0.2,"TT",16.6295048489932
67,90,0.2,"TT",13.3309142539271
57,110,0.2,"TT",15.0063437344892
77,70,0.2,"TT",10.4744309061371
57,70,0.2,"TT",14.9303080181873
77,110,0.2,"TT",18.2154983811244
67,90,0.2,"TT",13.6044797102829
57,110,0.2,"TT",17.1152404215693
